name, position
Johannes Albrecht,Emmy-Noether group leader
Kerstin Bartscherer, MPI group leader
Til Birnstiel, MPI postdoc
Bonafede Annalisa, Juniorprofessor
Davide Cantoni,Professor
Marco Caracciolo, Postdoc + Humboldt-Fellow
Tim Czopka,Emmy-Noether group leader
Mark Dawson,Professor
Fei Ding,Professor
Knut Drescher,Professor + MPI group leader
Martin Eckstein,Professor + MPI group leader
Gustavo Fernández,Professor + Humboldt-Fellow + group leader
Irene Fernandez-Cuesta,Postdoc??
Nicola Gagliani,Postdoc??
Gaetano Gargiulo, Max-Delbrück group leader
Gregor Gassner,Professor
Elena Giannoulis, Juniorprofessor
Andreas Grüneis,MPI group leader
Corinna Hoose,Professor
Johannes Hunger,MPI group leader
Frank Hutter,Emmy-Noether group leader
Matt Ikari,Postdoc
Radu Iovita,Postdoc
Annika Jahnke,Postdoc / group leader
Benjamin Judkewitz,Professor
Jan Philipp Junker,Max-Delbrück group leader
Ville R. I. Kaila,Professor
Jan-Henning Klusmann,Emmy-Noether group leader
Clemens Kroneberg,Professor
Diederik Kruijssen,group leader
Tim Lämmermann,MPI group leader
Kristin Lohwasser, Postdoc / group leader
Axel Lubk,Postdoc
Thomas Magauer,Emmy-Noether group leader
Philip Moll,MPI group leader
Andreas Müller,Professor
Michael Nash, group leader
Petr Neugebauer,Postdoc
Aloisia Nuijens, ??
Christof Osman,Postdoc + high impact
Frederic W. Patureau,Juniorprofessor
Nicolas Plumeré,group leader
Arezoo Pooresmaeili,group leader
Christoph Rademacher,MPI group leader
Thomas Reiner, ??
Markus Retsch,Juniorprofessor
Barbara Schraml,Emmy-Noether group leader
Alexander Shapiro,Postdoc 
T. Nicolai Siegel,group leader
Marion Silies,Emmy-Noether group leader
Gabriel Singer,group leader
Jürgen Steimle,Professor
Konrad Tiefenbacher,Juniorprofessor
Alexander Titz,group leader
Sahana Udupa,Postdoc
Alyson van Raalte,Postdoc
Franco Vazza,Postdoc
Eva von Contzen, Postdoc
Rhîannan H. Williams,Postdoc??
Agnieszka Wykowska,group leader + PD
Xiaoxiang Zhu,Professor




